YEAR,Avg_High_Temp
1918,45.54838709677419
1919,36.67741935483871
1920,43.096774193548384
1921,39.45161290322581
1922,39.45161290322581
1923,47.38709677419355
1924,40.64516129032258
1925,40.61290322580645
1926,35.29032258064516
1927,43.29032258064516
1928,44.96774193548387
1929,41.61290322580645
1930,39.32258064516129
1931,47.96774193548387
1932,45.25806451612903
1933,39.74193548387097
1934,39.96774193548387
1935,35.096774193548384
1936,45.87096774193548
1937,40.774193548387096
1938,42.64516129032258
1939,42.87096774193548
1940,44.903225806451616
1941,44.61290322580645
1942,38
1943,40.54838709677419
1944,38.25806451612903
1945,36.54838709677419
1946,45.32258064516129
1947,39.774193548387096
1948,43.96774193548387
1949,45.935483870967744
1950,40.45161290322581
1951,45.225806451612904
1952,43.645161290322584
1953,47.64516129032258
1954,41.67741935483871
1955,35.903225806451616
1956,47.16129032258065
1957,45.38709677419355
1958,35.87096774193548
1959,43.83870967741935
1960,38.12903225806452
1961,41
1962,37.35483870967742
1963,35.96774193548387
1964,42.12903225806452
1965,46.25806451612903
1966,41.16129032258065
1967,43.83870967741935
1968,40.58064516129032
1969,38.35483870967742
1970,39.38709677419355
1971,47.064516129032256
1972,43.54838709677419
1973,45.516129032258064
1974,44.096774193548384
1975,42.193548387096776
1976,36.67741935483871
1977,40.96774193548387
1978,45.12903225806452
1979,46.903225806451616
1980,39.87096774193548
1981,40.903225806451616
1982,48.67741935483871
1983,41.25806451612903
1984,49.96774193548387
1985,40.12903225806452
1986,44.41935483870968
1987,45.32258064516129
1988,42.87096774193548
1989,32.645161290322584
1990,49.67741935483871
1991,46.29032258064516
1992,43.74193548387097
1993,43.54838709677419
1994,48.935483870967744
1995,37.935483870967744
1996,46.645161290322584
1997,43.45161290322581
1998,48.903225806451616
1999,45.677419354838705
2000,37.225806451612904
2001,50.03225806451613
2002,41.12903225806452
2003,43.483870967741936
2004,44.354838709677416
2005,40.38709677419355
2006,49.516129032258064
2007,41.58064516129032
2008,44.903225806451616
2009,41.87096774193548
2010,37.67741935483871
2011,49.74193548387097
2012,46.32258064516129
2013,44.45161290322581
2014,45.12903225806452
2015,56.29032258064516
2016,43.87096774193548
2017,40
2018,45.45161290322581
2019,43.483870967741936
2020,45.096774193548384
2021,49.25806451612903
2022,44.16129032258065
2023,49.67741935483871
2024,43.58064516129032
