tasktype,ID,sumscore,nitems,group,gp,tt
sGJTG,16,30,40,immersion,2,2
sGJTG,17,39,40,native,1,2
sGJTG,18,34,40,immersion,2,2
sGJTG,19,38,40,native,1,2
sGJTG,20,36,40,native,1,2
sGJTG,21,37,40,native,1,2
sGJTG,22,34,40,immersion,2,2
sGJTG,23,34,40,immersion,2,2
sGJTG,24,32,38,classroom,3,2
sGJTG,25,38,40,native,1,2
sGJTG,26,34,40,immersion,2,2
sGJTG,27,39,40,immersion,2,2
sGJTG,28,36,40,immersion,2,2
sGJTG,29,38,40,native,1,2
sGJTG,30,29,40,classroom,3,2
sGJTG,31,34,40,immersion,2,2
sGJTG,32,36,40,classroom,3,2
sGJTG,33,39,40,native,1,2
sGJTG,34,40,40,classroom,3,2
sGJTG,35,39,40,native,1,2
sGJTG,36,39,40,native,1,2
sGJTG,37,38,40,immersion,2,2
sGJTG,38,39,40,native,1,2
sGJTG,39,39,40,classroom,3,2
sGJTG,40,36,40,classroom,3,2
sGJTG,41,25,40,classroom,3,2
sGJTG,42,32,40,classroom,3,2
sGJTG,43,37,40,native,1,2
sGJTG,44,39,40,native,1,2
sGJTG,45,38,40,native,1,2
sGJTG,46,37,39,immersion,2,2
sGJTG,47,40,40,native,1,2
sGJTG,48,40,40,immersion,2,2
sGJTG,49,30,40,classroom,3,2
sGJTG,50,32,40,immersion,2,2
sGJTG,51,36,40,immersion,2,2
sGJTG,52,39,40,native,1,2
sGJTG,53,36,40,classroom,3,2
sGJTG,54,37,40,native,1,2
sGJTG,55,29,39,immersion,2,2
sGJTG,56,36,40,native,1,2
sGJTG,57,30,40,classroom,3,2
sGJTG,58,30,39,immersion,2,2
sGJTG,59,24,40,immersion,2,2
sGJTG,60,35,39,classroom,3,2
sGJTG,61,38,40,native,1,2
sGJTG,62,35,40,immersion,2,2
sGJTG,63,35,40,classroom,3,2
sGJTG,64,33,40,immersion,2,2
sGJTG,65,40,40,classroom,3,2
sGJTG,66,34,40,native,1,2
sGJTG,67,40,40,classroom,3,2
sGJTG,68,31,40,classroom,3,2
sGJTG,69,40,40,native,1,2
sGJTG,70,39,40,native,1,2
sGJTG,71,38,40,immersion,2,2
sGJTG,72,32,37,immersion,2,2
sGJTG,73,38,40,native,1,2
sGJTG,74,34,40,immersion,2,2
sGJTG,75,30,39,classroom,3,2
sGJTG,76,35,40,immersion,2,2
sGJTG,77,38,40,immersion,2,2
sGJTG,78,36,40,native,1,2
sGJTG,79,39,40,classroom,3,2
sGJTG,80,35,39,immersion,2,2
sGJTG,81,33,39,classroom,3,2
sGJTG,82,40,40,native,1,2
sGJTG,83,35,40,immersion,2,2
sGJTG,84,38,40,native,1,2
sGJTG,85,31,40,immersion,2,2
sGJTG,86,40,40,native,1,2
sGJTG,87,38,40,native,1,2
sGJTG,88,31,40,classroom,3,2
sGJTG,89,39,40,native,1,2
sGJTG,90,34,40,native,1,2
sGJTG,91,28,40,classroom,3,2
sGJTG,92,39,40,immersion,2,2
sGJTG,93,36,40,immersion,2,2
sGJTG,94,34,40,immersion,2,2
sGJTG,95,35,40,classroom,3,2
sGJTG,96,28,39,classroom,3,2
sGJTG,97,35,40,classroom,3,2
sGJTG,98,28,40,classroom,3,2
sGJTG,99,35,40,classroom,3,2
sGJTG,100,39,39,native,1,2
sGJTG,101,39,40,classroom,3,2
sGJTG,102,31,40,immersion,2,2
sGJTG,103,32,39,classroom,3,2
sGJTG,104,28,40,classroom,3,2
sGJTG,105,40,40,native,1,2
sGJTG,106,36,39,native,1,2
sGJTG,107,38,40,immersion,2,2
sGJTG,108,37,40,classroom,3,2
sGJTG,109,36,38,immersion,2,2
sGJTG,110,37,40,native,1,2
sGJTG,111,38,40,native,1,2
sGJTG,112,37,40,immersion,2,2
sGJTG,113,37,40,classroom,3,2
sGJTG,114,32,40,classroom,3,2
sGJTG,115,36,40,immersion,2,2
sGJTG,116,34,40,immersion,2,2
sGJTG,117,37,40,classroom,3,2
sGJTG,118,37,39,native,1,2
sGJTG,119,33,40,classroom,3,2
sGJTG,120,37,40,classroom,3,2
sGJTG,121,27,40,immersion,2,2
